metric,value
transported_card_oof_auroc,0.726659
rederived_card_oof_auroc,0.719042
transported_minus_rederived,0.007616
diff_ci_lower_2p5,0.003403
diff_ci_upper_97p5,0.012060
diff_ci_includes_zero,False
bootstrap_resamples_diff,2000
bootstrap_resamples_points,500
points_lactate_1pt_pct,64.2
points_lactate_2pt_pct,35.8
points_uo_1pt_pct,100.0
points_ohca_arrest_2pt_pct,38.8
points_ohca_arrest_3pt_pct,61.0
points_ohca_arrest_4pt_pct,0.2
points_age_1pt_pct,100.0
points_bun_1pt_pct,100.0
points_rdw_1pt_pct,100.0
