variable,selection_frequency
age,1.0
sig_mr,1.0
bilirubin_total_max,1.0
rdw_max,1.0
gcs_min,1.0
nee_max,1.0
shock_index,1.0
lactate_max,1.0
mbp_min,1.0
uo_rate_mlkghr,1.0
hf_cs,1.0
ohca_arrest,1.0
albumin_min,1.0
temperature_min,0.9975
malignant_cancer,0.9975
bun_max,0.9975
glucose_max,0.9925
on_iv_loop,0.9925
baseline_creatinine_est,0.9925
bicarbonate_min,0.9925
chronic_pulmonary_disease,0.99
loop_furos_equiv_mg,0.9875
ast_max,0.985
hemoglobin_min,0.985
lactate_missing,0.9775
inotrope_flag,0.9775
so2_min,0.965
ph_min,0.9625
gender,0.96
potassium_max,0.9575
rhy_vt_vf,0.935
pressor_count,0.895
rhy_paced,0.89
ckd_flag,0.8675
kdigo_aki_stage,0.85
nlr,0.85
sepsis3,0.84
ami_cs,0.83
sodium_min,0.795
inr_max,0.795
rhy_af,0.7875
dm_any,0.7825
bun_cr_ratio,0.7775
pao2fio2ratio_min,0.7575
platelets_min,0.735
sig_tr,0.73
tapse,0.7275
lvef,0.725
mcs_24h_count,0.7125
sbp_min,0.705
calcium_min,0.6775
invasive_vent_24h,0.675
heart_rate_max,0.66
esrd_chronic_dialysis,0.66
wbc_max,0.655
troponin_t_max,0.65
creatinine_max,0.3925
rhy_chb,0.0
