cohort,stage,tertile,mortality,n
MIMIC,B,Low,15.5,200
MIMIC,B,Mid,30.1,153
MIMIC,B,High,37.8,111
MIMIC,C,Low,17.4,478
MIMIC,C,Mid,39.3,272
MIMIC,C,High,52.0,250
MIMIC,D,Low,13.9,353
MIMIC,D,Mid,32.3,217
MIMIC,D,High,66.8,211
MIMIC,E,Low,35.3,380
MIMIC,E,Mid,63.8,199
MIMIC,E,High,84.1,271
eICU,B,Low,13.6,236
eICU,B,Mid,18.5,81
eICU,B,High,37.8,156
eICU,C,Low,18.3,333
eICU,C,Mid,36.6,183
eICU,C,High,56.2,144
eICU,D,Low,7.8,90
eICU,D,Mid,29.6,81
eICU,D,High,43.8,73
eICU,E,Low,39.2,212
eICU,E,Mid,58.6,133
eICU,E,High,72.9,144
