model,variable,winsor_lo,winsor_hi,impute_median,mean,sd,beta_standardized,beta_raw_scale
lactate,lactate,0.7,12.723,1.9,2.418,1.8608,0.496888,0.267033
lactate,uo,0.0013,3.8352,0.728,0.9197,0.7526,-0.427892,-0.568569
lactate,ohca_arrest,0.0,1.0,0.0,0.095,0.2933,0.325232,1.109057
lactate,age,27.93,93.0,71.0,69.6641,14.0336,0.263458,0.018773
lactate,bun,8.0,122.16,33.0,39.2072,24.9254,0.254663,0.010217
lactate,rdw,12.2,24.496,15.2,15.7704,2.4865,0.198363,0.079777
lactate,(intercept),,,,,,-0.806673,-4.001369
anion-gap,aniongap,5.0,29.0,13.0,13.3935,4.5533,0.427884,0.093973
anion-gap,uo,0.0013,3.8352,0.728,0.9197,0.7526,-0.463905,-0.616421
anion-gap,ohca_arrest,0.0,1.0,0.0,0.095,0.2933,0.361791,1.233727
anion-gap,age,27.93,93.0,71.0,69.6641,14.0336,0.271008,0.019311
anion-gap,bun,8.0,122.16,33.0,39.2072,24.9254,0.082329,0.003303
anion-gap,rdw,12.2,24.496,15.2,15.7704,2.4865,0.186597,0.075044
anion-gap,(intercept),,,,,,-0.82333,-4.290575
